
Running tick = 0
ReadyQ[0] = 1 | WaitingQ is empty | RunningQ = 0
ReadyQ[1] = 2 | 	          |
ReadyQ[2] = 3 | 	          |
ReadyQ[3] = 4 | 	          |
ReadyQ[4] = 5 | 	          |
ReadyQ[5] = 6 | 	          |
ReadyQ[6] = 7 | 	          |
ReadyQ[7] = 8 | 	          |
ReadyQ[8] = 9 | 	          |
	      |	          |

Running tick = 1
ReadyQ[0] = 2 | WaitingQ[0] = 0   | RunningQ = 1
ReadyQ[1] = 3 | 	          |
ReadyQ[2] = 4 | 	          |
ReadyQ[3] = 5 | 	          |
ReadyQ[4] = 6 | 	          |
ReadyQ[5] = 7 | 	          |
ReadyQ[6] = 8 | 	          |
ReadyQ[7] = 9 | 	          |
	      |	          |
	      |	          |

Running tick = 2
ReadyQ[0] = 2 | WaitingQ is empty | RunningQ = 1
ReadyQ[1] = 3 | 	          |
ReadyQ[2] = 4 | 	          |
ReadyQ[3] = 5 | 	          |
ReadyQ[4] = 6 | 	          |
ReadyQ[5] = 7 | 	          |
ReadyQ[6] = 8 | 	          |
ReadyQ[7] = 9 | 	          |
ReadyQ[8] = 0 | 	          |
	      |	          |

Running tick = 3
ReadyQ[0] = 3 | WaitingQ is empty | RunningQ = 2
ReadyQ[1] = 4 | 	          |
ReadyQ[2] = 5 | 	          |
ReadyQ[3] = 6 | 	          |
ReadyQ[4] = 7 | 	          |
ReadyQ[5] = 8 | 	          |
ReadyQ[6] = 9 | 	          |
ReadyQ[7] = 0 | 	          |
ReadyQ[8] = 1 | 	          |
	      |	          |

Running tick = 4
ReadyQ[0] = 4 | WaitingQ[0] = 2   | RunningQ = 3
ReadyQ[1] = 5 | 	          |
ReadyQ[2] = 6 | 	          |
ReadyQ[3] = 7 | 	          |
ReadyQ[4] = 8 | 	          |
ReadyQ[5] = 9 | 	          |
ReadyQ[6] = 0 | 	          |
ReadyQ[7] = 1 | 	          |
	      |	          |
	      |	          |

Running tick = 5
ReadyQ[0] = 4 | WaitingQ is empty | RunningQ = 3
ReadyQ[1] = 5 | 	          |
ReadyQ[2] = 6 | 	          |
ReadyQ[3] = 7 | 	          |
ReadyQ[4] = 8 | 	          |
ReadyQ[5] = 9 | 	          |
ReadyQ[6] = 0 | 	          |
ReadyQ[7] = 1 | 	          |
ReadyQ[8] = 2 | 	          |
	      |	          |

Running tick = 6
ReadyQ[0] = 5 | WaitingQ[0] = 3   | RunningQ = 4
ReadyQ[1] = 6 | 	          |
ReadyQ[2] = 7 | 	          |
ReadyQ[3] = 8 | 	          |
ReadyQ[4] = 9 | 	          |
ReadyQ[5] = 0 | 	          |
ReadyQ[6] = 1 | 	          |
ReadyQ[7] = 2 | 	          |
	      |	          |
	      |	          |

Running tick = 7
ReadyQ[0] = 6 | WaitingQ[0] = 3   | RunningQ = 5
ReadyQ[1] = 7 | WaitingQ[1] = 4   | 
ReadyQ[2] = 8 | 	          |
ReadyQ[3] = 9 | 	          |
ReadyQ[4] = 0 | 	          |
ReadyQ[5] = 1 | 	          |
ReadyQ[6] = 2 | 	          |
	      |	          |
	      |	          |
	      |	          |

Running tick = 8
ReadyQ[0] = 6 | WaitingQ[0] = 4   | RunningQ = 5
ReadyQ[1] = 7 | 	          |
ReadyQ[2] = 8 | 	          |
ReadyQ[3] = 9 | 	          |
ReadyQ[4] = 0 | 	          |
ReadyQ[5] = 1 | 	          |
ReadyQ[6] = 2 | 	          |
ReadyQ[7] = 3 | 	          |
	      |	          |
	      |	          |

Running tick = 9
ReadyQ[0] = 7 | WaitingQ is empty | RunningQ = 6
ReadyQ[1] = 8 | 	          |
ReadyQ[2] = 9 | 	          |
ReadyQ[3] = 0 | 	          |
ReadyQ[4] = 1 | 	          |
ReadyQ[5] = 2 | 	          |
